,es,en,ja,zh
KEY_PLAY,Iniciar Partida,Start Game,ゲームをスタート,开始游戏      
KEY_CHAR,Personaje      ,Character   ,キャラクター       ,特点                
KEY_SETTINGS,Configuración,Settings      ,    設定                    ,设置             
KEY_CHOSE_PLAYER,Seleccione Jugador,Choose Player ,プレーヤーの選択,选择玩家
KEY_NAME_PLAYER_RODOLFO,"Rodolfo ""El hidrocalido""","Rudolph ""The hot waterian""",ロドルフォ「ハイドロカリド」,鲁道夫“热水者”
KEY_INFO_PLAYER_RODOLFO,Representa a Aguascalientes y a las chascas,He represents Aguascalientes and corn in chunks,アグアスカリエンテスとチャスカを代表する,代表阿瓜斯卡连特斯人和查斯卡人
KEY_NAME_PLAYER_RONALDINO,"Ronaldiño ""El Futbolero""","Ronaldinho ""The Soccer Player""",ロナウジーニョ「ザ・サッカー選手」,罗纳尔迪尼奥“足球运动员”
KEY_INFO_PLAYER_RONALDINO,Representa a Brasil y a su gente ,Represents Brazil and its people,ブラジルとブラジル国民を代表する,代表巴西及其人民
KEY_LANGUAGE,Idioma,Language,言語,语言
KEY_MUSIC,Música,Music,音楽,音乐
KEY_EFECTS,Efectos,Effects,効果,效果
KEY_MAIN_MENU,Menú Principal,Main menu,メインメニュー,主菜单
KEY_CHOSE_LEVEL,Seleccione un nivel,Select a level,レベルを選択してください,选择一个级别
KEY_TUTORIAL,Nivel 1 - Tutorial,Level 1 - Tutorial,レベル 1 - チュートリアル,级别1 - 教程
KEY_LEVEL_2,Nivel 2,Level 2,レベル 2,级别2
KEY_SOON,Proximamente ,Coming soon,近日公開予定,即将推出 
KEY_INSTRUCCIONS_TITLE,Instrucciones,Instructions,指示,说明
KEY_INSTRUCCIONS,"Usa las flechas izquierda y derecha para moverte. 
La flecha hacia arriba es para saltar. 
En el menú de hamburguesa podrás modificar el volumen 
e ir al menú principal. 
Avanza al puesto de elotes para continuar al siguiente nivel. ","Use the left and right arrows to move. 
The up arrow is for jumping. In the hamburger menu, 
you can adjust the volume and go to the main menu. 
Move to the corn stand to proceed to the next level."," 左右の矢印を使用して移動します。
上向きの矢印はジャンプ用です。
ハンバーガーメニューでは、
音量を調整したりメインメニューに移動したりできます。
次のレベルに進むにはとうもろこしの売り場に進んでください。","使用左右箭头进行移动。
向上箭头是跳跃用的。在汉堡菜单中，
您可以调整音量并转到主菜单。
移动到玉米摊位以继续到下一级"
KEY_BYE,Gracías por jugar,Thanks for playing,遊んでくれてありがとう,谢谢你的参与
KEY_CREDITS,Créditos,Credits,クレジット,积分 
